epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,235.129,1.45938,2.16542,1.28511,0.32228,0.34031,0.279,0.17408,1.28941,1.93639,1.23415,0.0671803,0.000331512,0.000331512
2,426.709,1.39274,1.67364,1.24271,0.53057,0.34218,0.34869,0.22038,1.19781,1.45584,1.15945,0.0341672,0.000651681,0.000651681
3,672.611,1.42089,1.66748,1.26123,0.44827,0.33108,0.30592,0.19182,1.27829,1.92092,1.24558,0.0011408,0.000958651,0.000958651
4,860.807,1.37146,1.59639,1.24378,0.5884,0.37199,0.38615,0.25776,1.19473,1.42095,1.16964,0.0009406,0.0009406,0.0009406
5,1054.59,1.37676,1.51811,1.23339,0.64211,0.38916,0.40011,0.26291,1.18046,1.34749,1.1608,0.0009208,0.0009208,0.0009208
6,1239.24,1.34137,1.41904,1.21745,0.70707,0.37271,0.40868,0.27302,1.15853,1.27733,1.13748,0.000901,0.000901,0.000901
7,1426.43,1.28554,1.33265,1.19735,0.63485,0.4027,0.43537,0.29723,1.13303,1.18022,1.12736,0.0008812,0.0008812,0.0008812
8,1612.72,1.25504,1.28838,1.17233,0.67638,0.40925,0.43479,0.30006,1.10144,1.14167,1.11627,0.0008614,0.0008614,0.0008614
9,1799.01,1.21341,1.24024,1.15202,0.76994,0.41139,0.46188,0.32036,1.05822,1.03786,1.09795,0.0008416,0.0008416,0.0008416
10,1996.57,1.21351,1.22967,1.1478,0.7435,0.40918,0.46261,0.31376,1.05268,1.08628,1.09142,0.0008218,0.0008218,0.0008218
11,2209.18,1.19585,1.21783,1.14505,0.66162,0.43273,0.47007,0.33243,1.03288,1.01106,1.08282,0.000802,0.000802,0.000802
12,2421.86,1.16237,1.1794,1.12511,0.73617,0.42078,0.47662,0.33499,1.02634,0.96946,1.07491,0.0007822,0.0007822,0.0007822
13,2606.88,1.14988,1.12726,1.12761,0.81941,0.41288,0.48061,0.33843,1.01516,0.9996,1.06054,0.0007624,0.0007624,0.0007624
14,2791.38,1.1557,1.12222,1.12126,0.7541,0.43357,0.48321,0.34186,0.97524,0.9564,1.04981,0.0007426,0.0007426,0.0007426
15,2978.73,1.1307,1.08047,1.11303,0.80368,0.42451,0.49519,0.35287,0.97416,0.89108,1.04756,0.0007228,0.0007228,0.0007228
16,3168.59,1.07961,1.02439,1.09134,0.77738,0.44981,0.50053,0.35706,0.95219,0.89364,1.05485,0.000703,0.000703,0.000703
17,3356.82,1.08343,1.05166,1.08991,0.82858,0.44593,0.50764,0.35624,0.9598,0.89781,1.04913,0.0006832,0.0006832,0.0006832
18,3608.82,1.10731,1.04544,1.09692,0.7503,0.46173,0.50332,0.35651,0.96499,0.86371,1.05401,0.0006634,0.0006634,0.0006634
19,3939.66,1.0438,0.97942,1.08103,0.77399,0.45157,0.51461,0.3701,0.95114,0.86479,1.04896,0.0006436,0.0006436,0.0006436
20,4134.89,1.05562,0.97764,1.07951,0.78939,0.4618,0.51375,0.37465,0.91106,0.83938,1.02861,0.0006238,0.0006238,0.0006238
21,4350.71,1.03587,0.96224,1.07207,0.84059,0.44835,0.5134,0.37227,0.91742,0.83452,1.03089,0.000604,0.000604,0.000604
22,4565.43,1.01357,0.90994,1.06269,0.80736,0.44756,0.51117,0.37237,0.89309,0.81317,1.01557,0.0005842,0.0005842,0.0005842
23,4769.33,1.0218,0.9129,1.05658,0.83818,0.44719,0.52388,0.38031,0.89901,0.79189,1.02485,0.0005644,0.0005644,0.0005644
24,4958.07,1.0025,0.90017,1.05001,0.80766,0.47498,0.54226,0.38867,0.89708,0.76956,1.01525,0.0005446,0.0005446,0.0005446
25,5148.28,0.9757,0.88356,1.04415,0.87889,0.44182,0.52631,0.38411,0.86326,0.76594,1.00337,0.0005248,0.0005248,0.0005248
26,5338.61,0.95744,0.86673,1.03981,0.83049,0.47582,0.53787,0.39624,0.86207,0.75012,1.00809,0.000505,0.000505,0.000505
27,5557.83,0.96379,0.87326,1.04246,0.79096,0.48369,0.53932,0.39509,0.85299,0.74381,1.00008,0.0004852,0.0004852,0.0004852
28,5748.6,0.95791,0.84819,1.03715,0.80374,0.46756,0.53224,0.39225,0.85263,0.76845,0.99584,0.0004654,0.0004654,0.0004654
29,5955.67,0.96303,0.8518,1.04385,0.80402,0.46728,0.53856,0.39325,0.85706,0.73163,1.00738,0.0004456,0.0004456,0.0004456
30,6174.9,0.94362,0.84863,1.03056,0.83575,0.47388,0.54613,0.40595,0.83562,0.72007,0.98938,0.0004258,0.0004258,0.0004258
31,6389.17,0.92625,0.79987,1.02282,0.80244,0.47685,0.54603,0.40182,0.83578,0.71336,0.98721,0.000406,0.000406,0.000406
32,6661.32,0.92156,0.79873,1.01591,0.8276,0.47784,0.55034,0.40499,0.82617,0.71376,0.99051,0.0003862,0.0003862,0.0003862
33,6864.2,0.90253,0.78686,1.00942,0.81598,0.47195,0.54997,0.41254,0.81188,0.67933,0.98271,0.0003664,0.0003664,0.0003664
34,7193.19,0.89011,0.75727,1.00153,0.80084,0.48672,0.55348,0.41085,0.81354,0.70298,0.97926,0.0003466,0.0003466,0.0003466
35,7407.84,0.88394,0.75439,0.99223,0.84939,0.48284,0.5541,0.41389,0.79627,0.68325,0.9749,0.0003268,0.0003268,0.0003268
36,7719.37,0.86868,0.74051,0.99359,0.83216,0.4835,0.55239,0.42077,0.78791,0.6767,0.97279,0.000307,0.000307,0.000307
37,7913.78,0.89541,0.75752,1.00656,0.84759,0.49339,0.55983,0.42381,0.79053,0.64885,0.96941,0.0002872,0.0002872,0.0002872
38,8101.93,0.86513,0.73045,0.99781,0.85324,0.48917,0.56398,0.42422,0.77421,0.6428,0.9657,0.0002674,0.0002674,0.0002674
39,8296.79,0.86002,0.73409,0.99458,0.8098,0.50628,0.56195,0.42138,0.78044,0.64442,0.96728,0.0002476,0.0002476,0.0002476
40,8748.37,0.86099,0.72587,0.98694,0.82802,0.50451,0.57094,0.43312,0.76581,0.62723,0.95897,0.0002278,0.0002278,0.0002278
41,8942.1,0.75085,0.59106,0.93951,0.83791,0.49149,0.5634,0.42402,0.76434,0.63607,0.96077,0.000208,0.000208,0.000208
42,9136.47,0.7411,0.58532,0.93393,0.84821,0.49746,0.56419,0.4266,0.75875,0.61979,0.95819,0.0001882,0.0001882,0.0001882
43,9333.58,0.7307,0.56782,0.92722,0.85942,0.48899,0.5662,0.4331,0.75632,0.61544,0.95328,0.0001684,0.0001684,0.0001684
44,9526.03,0.7141,0.53363,0.91938,0.83774,0.50804,0.57617,0.44011,0.74267,0.60436,0.94897,0.0001486,0.0001486,0.0001486
45,9718.55,0.71299,0.53484,0.92398,0.87154,0.50139,0.57415,0.43846,0.74186,0.60254,0.95046,0.0001288,0.0001288,0.0001288
46,9913.72,0.68666,0.51495,0.91177,0.88007,0.49989,0.5746,0.43773,0.73809,0.59613,0.95188,0.000109,0.000109,0.000109
47,10108.6,0.69428,0.51893,0.91391,0.83274,0.51581,0.57458,0.44085,0.72843,0.59637,0.9456,8.92e-05,8.92e-05,8.92e-05
48,10312.4,0.68116,0.50712,0.91105,0.79512,0.52204,0.57511,0.44019,0.72333,0.58354,0.94289,6.94e-05,6.94e-05,6.94e-05
49,10531.6,0.66926,0.50391,0.91248,0.81709,0.51114,0.57676,0.44363,0.71689,0.57833,0.94088,4.96e-05,4.96e-05,4.96e-05
50,10758.7,0.66544,0.49467,0.90919,0.84612,0.50022,0.5781,0.44316,0.71375,0.5756,0.94072,2.98e-05,2.98e-05,2.98e-05
